id,carat,cut,color,clarity,price,size
0,0.3,Premium,D,SI2,6.353,49.437424
1,1.01,Ideal,E,VVS2,9.183,167.551728
2,0.72,Ideal,F,VS2,7.983,116.02491599999999
3,1.08,Very Good,G,SI2,8.371,175.1412
4,0.36,Premium,G,VS1,6.588,57.73949999999999
5,0.53,Ideal,F,VS1,7.496,85.92584
6,1.74,Premium,H,SI1,8.979,279.291572
7,0.33,Ideal,E,VVS2,6.877,56.186496000000005
8,0.32,Very Good,E,VS2,6.554,52.6361
9,0.27,Ideal,E,VVS2,6.683,43.876352000000004
10,0.63,Ideal,D,SI1,7.484,104.417424
11,0.31,Ideal,G,VS2,6.353,50.638686
12,0.53,Ideal,F,VS1,7.554,85.9638
13,0.7,Very Good,H,VS1,7.671,114.81069600000001
14,0.74,Very Good,H,SI1,7.794,117.74476800000001
15,1.29,Very Good,I,VS2,8.727,207.22501799999998
16,0.71,Ideal,D,SI1,8.087,117.086976
17,0.32,Ideal,G,SI1,6.23,52.925292000000006
18,0.52,Ideal,G,VS1,7.451,86.52672
19,0.42,Premium,G,VVS1,7.072,70.15428
20,1.06,Premium,E,SI2,8.445,170.89019999999996
21,0.58,Ideal,I,VVS1,7.365,97.61471999999999
22,1.5,Fair,I,SI1,8.976,243.64499200000003
23,0.3,Ideal,G,IF,6.76,50.667494999999995
24,1.0,Fair,F,VS1,8.671,160.5325
25,0.51,Ideal,F,VVS1,7.911,84.40283500000001
26,1.2,Premium,G,VS2,8.961,199.13696000000004
27,0.41,Ideal,G,IF,7.266,67.43385
28,0.42,Ideal,E,VS1,7.074,68.99904000000001
29,1.12,Premium,H,SI2,8.456,186.28686000000005
30,1.22,Premium,I,SI1,8.606,197.78752000000003
31,0.5,Very Good,H,SI1,7.033,81.04349
32,0.31,Premium,G,SI1,6.385,50.50458
33,0.56,Ideal,D,VS2,7.633,91.744224
34,0.32,Ideal,H,SI2,6.04,54.2113
35,0.72,Ideal,J,SI1,7.525,119.67960899999999
36,1.08,Very Good,H,SI1,8.573,176.262156
37,0.31,Good,D,SI1,6.347,50.526720000000005
38,0.33,Ideal,G,IF,6.852,54.334500000000006
39,0.7,Ideal,E,SI2,7.631,116.35266999999999
40,2.53,Premium,H,SI2,9.626,414.903384
41,1.0,Good,H,SI1,8.361,160.25380800000002
42,0.37,Ideal,D,VS2,7.025,60.40351999999999
43,0.3,Ideal,E,VVS1,6.797,50.522007
44,1.7,Very Good,J,SI1,9.09,273.12159599999995
45,0.32,Ideal,I,VS2,6.356,52.39465
46,0.54,Premium,E,VS1,7.866,84.14693999999999
47,0.34,Ideal,G,VS1,6.579,56.805099999999996
48,1.22,Ideal,H,SI1,8.971,198.65841600000002
49,0.7,Very Good,D,VS1,8.179,114.30999999999999
50,1.22,Premium,F,SI1,8.837,198.19157400000003
51,1.61,Premium,D,SI1,9.412,263.23967999999996
52,0.71,Very Good,E,VS2,8.115,116.39520900000001
53,0.32,Very Good,I,SI1,5.961,54.605564
54,0.54,Ideal,E,SI1,7.483,89.026552
55,1.0,Ideal,I,SI2,8.094,161.24174
56,0.3,Premium,G,VS1,6.654,49.29724800000001
57,1.0,Very Good,F,SI2,8.302,161.57987999999997
58,0.38,Ideal,E,IF,7.268,62.648517000000005
59,0.42,Ideal,E,VS2,6.931,68.00112
60,0.74,Ideal,E,SI1,7.93,121.60047999999999
61,0.7,Ideal,F,SI1,7.71,114.88385
62,0.61,Good,D,SI2,7.261,99.70147600000001
63,1.21,Ideal,F,I1,8.384,196.74576000000002
64,1.28,Ideal,G,SI1,8.936,206.98343999999997
65,1.26,Very Good,G,SI1,8.976,204.23692799999998
66,0.4,Premium,D,VS1,7.09,64.445936
67,0.3,Premium,H,VVS1,6.528,50.03856000000001
68,0.3,Ideal,I,VVS1,6.564,49.569309999999994
69,0.81,Ideal,E,SI2,8.039,131.42844000000002
70,0.32,Ideal,E,VS2,6.554,52.32523200000001
71,0.51,Ideal,G,VS1,7.432,83.45996999999998
72,0.76,Ideal,D,VS1,8.384,123.753688
73,0.44,Premium,G,SI1,6.898,71.934616
74,0.72,Ideal,D,VS1,8.195,120.50891999999999
75,1.03,Ideal,D,SI2,8.469,168.22808999999998
76,0.6,Premium,G,SI1,7.406,95.91679199999999
77,0.7,Very Good,G,SI1,7.73,113.84452799999998
78,1.1,Very Good,G,VVS1,9.133,178.89807100000002
79,0.3,Ideal,F,VS1,6.594,50.101632000000016
80,0.78,Good,G,SI1,7.777,122.08032
81,1.13,Premium,G,VVS1,9.09,188.921565
82,0.56,Ideal,D,SI1,7.364,90.129048
83,0.77,Premium,I,VS1,7.834,127.01520000000001
84,0.51,Premium,I,VS2,7.072,83.49081600000001
85,2.09,Good,J,VS2,9.357,349.17381
86,0.36,Ideal,G,VVS1,6.959,58.613099999999996
87,1.26,Ideal,E,VVS2,9.568,208.63219999999998
88,0.33,Premium,H,IF,6.918,54.014990000000004
89,0.51,Very Good,I,SI1,6.974,83.681871
90,0.31,Premium,F,VS2,6.687,49.80528
91,0.71,Very Good,H,SI1,7.726,115.18675200000001
92,0.35,Premium,E,SI1,6.669,56.8404
93,0.31,Ideal,G,VVS1,6.649,51.413924
94,0.3,Premium,I,VS1,6.41,48.47304
95,0.54,Ideal,D,VS2,7.621,88.96230000000001
96,0.38,Ideal,I,VS2,6.515,62.724998000000014
97,1.08,Very Good,F,VVS1,9.231,177.317216
98,1.28,Ideal,H,VVS1,9.078,210.58530699999997
99,1.08,Ideal,G,SI1,8.585,174.98193999999998
100,1.5,Premium,J,VS1,9.131,238.488705
101,0.39,Very Good,D,VVS2,6.962,64.11089300000002
102,1.01,Very Good,H,SI1,8.382,163.3184
103,0.9,Premium,D,SI1,8.436,144.242436
104,1.84,Premium,H,SI1,9.54,304.897446
105,0.79,Premium,J,SI1,7.696,132.272832
106,1.61,Good,E,SI2,9.287,258.642676
107,1.12,Premium,G,IF,9.119,185.96452
108,0.31,Ideal,F,VVS2,6.574,52.628400000000006
109,0.31,Ideal,G,VS1,6.465,51.1038
110,1.22,Premium,I,VS2,8.639,195.534
111,0.7,Good,F,VS2,7.86,111.29383999999999
112,1.07,Premium,F,SI2,8.443,173.75350500000002
113,0.33,Ideal,G,VS1,6.55,54.624640000000014
114,0.4,Premium,D,VVS2,7.188,65.47930800000002
115,0.5,Good,F,VS2,7.27,81.028233
116,0.5,Good,D,SI2,6.865,80.40448
117,0.56,Ideal,F,SI2,7.154,92.09173999999999
118,0.41,Ideal,D,VS2,7.071,68.35531999999999
119,1.03,Premium,I,SI1,8.098,167.1978
120,0.54,Ideal,E,VS1,7.508,88.48943999999999
121,0.3,Ideal,F,VS2,6.654,49.268471999999996
122,0.9,Premium,G,SI1,8.236,140.50800399999997
123,0.61,Ideal,I,SI2,7.245,100.117836
124,1.26,Very Good,H,SI2,8.655,202.58952000000002
125,1.22,Premium,H,VS1,8.893,201.29990399999997
126,0.4,Premium,E,VS2,6.816,65.16010799999998
127,0.34,Ideal,E,SI2,6.118,56.01364799999999
128,1.0,Premium,H,VS2,8.514,164.854032
129,1.58,Ideal,E,SI1,9.515,259.90875
130,2.01,Ideal,I,SI1,9.748,334.32301999999993
131,0.32,Ideal,D,VS2,6.631,53.422772
132,2.0,Very Good,J,VS2,9.476,323.855644
133,1.27,Ideal,E,VS1,9.379,208.29716000000002
134,1.5,Very Good,F,SI1,9.302,234.5616
135,0.5,Ideal,F,SI2,7.093,82.853604
136,1.51,Ideal,I,SI1,9.029,245.96638000000002
137,0.62,Premium,G,VS2,7.508,102.588486
138,1.68,Premium,J,SI2,8.943,278.05895999999996
139,0.52,Ideal,G,VS1,7.451,87.90728800000001
140,1.01,Very Good,E,SI1,8.518,163.010276
141,1.28,Ideal,G,SI2,8.681,208.22371200000003
142,0.5,Ideal,H,VS2,7.394,82.998664
143,0.66,Very Good,G,VVS2,7.701,111.567456
144,1.01,Very Good,F,VS2,8.726,164.24599099999998
145,0.31,Ideal,G,VS2,6.299,51.207660000000004
146,0.31,Ideal,F,IF,7.052,51.53508000000001
147,0.58,Ideal,F,VVS1,7.911,94.62881999999999
148,0.4,Very Good,F,SI1,6.782,64.47343000000001
149,0.9,Ideal,G,VS1,8.62,145.80235500000003
150,1.5,Premium,F,SI1,9.079,241.07029200000002
151,1.17,Premium,D,VS1,9.204,189.256704
152,1.5,Very Good,D,VS1,9.705,238.20451200000002
153,0.9,Very Good,E,SI1,8.307,145.03907999999998
154,0.72,Good,F,VVS2,8.054,115.97414399999998
155,0.71,Ideal,D,VS2,8.05,117.53490000000001
156,1.56,Ideal,J,VS2,8.963,255.24912199999997
157,0.71,Very Good,G,VS2,7.853,115.08984
158,0.52,Very Good,G,VVS1,7.656,86.15192400000001
159,0.71,Very Good,J,VS1,7.597,114.42436500000001
160,1.11,Ideal,I,SI1,8.457,181.47869400000002
161,1.27,Premium,I,SI1,8.646,203.64844499999998
162,0.24,Very Good,D,SI1,6.163,39.757144999999994
163,1.05,Very Good,H,SI2,8.333,169.84598400000004
164,1.01,Premium,G,SI2,8.354,161.240148
165,0.7,Premium,D,SI2,7.706,114.163456
166,0.42,Premium,E,VS2,6.865,68.58578999999999
167,0.34,Ideal,H,VVS1,6.621,56.96671199999999
168,1.11,Ideal,E,SI2,8.586,184.04735999999997
169,1.65,Very Good,J,SI1,8.98,265.39317000000005
170,0.81,Very Good,H,VS1,8.04,129.52742
171,0.81,Ideal,G,VVS2,8.325,133.778148
172,1.47,Fair,H,I1,8.497,224.76716800000003
173,2.08,Premium,I,SI2,9.637,337.53676799999994
174,1.55,Ideal,I,VS2,9.131,251.62136999999998
175,0.32,Ideal,E,VVS2,6.658,53.499680000000005
176,0.55,Ideal,E,VS2,7.447,90.195072
177,0.3,Premium,I,SI1,6.227,48.47304
178,1.56,Very Good,J,SI1,8.912,258.443295
179,0.7,Good,E,VS1,7.99,113.262864
180,0.3,Very Good,E,VS2,6.461,48.699552000000004
181,0.33,Premium,G,VS2,6.611,53.989107
182,0.72,Premium,E,SI2,7.662,118.31517600000001
183,0.7,Premium,G,VS1,7.822,113.85864000000001
184,1.04,Very Good,D,VS1,9.011,166.04287200000002
185,0.34,Good,H,VS2,6.286,56.798100000000005
186,1.02,Premium,H,SI1,8.476,161.44128
187,0.31,Good,E,SI1,6.299,51.134702
188,1.12,Ideal,E,SI1,8.773,183.12269400000005
189,1.0,Very Good,H,SI1,8.508,157.31352
190,0.33,Ideal,G,VS1,6.501,53.28752000000001
191,0.55,Premium,G,SI1,7.186,89.850816
192,1.2,Premium,H,VS1,8.799,195.457215
193,1.51,Premium,G,SI1,9.282,240.462
194,0.54,Very Good,E,VS2,7.442,88.303248
195,0.32,Premium,I,VS1,6.474,51.17861999999999
196,0.33,Premium,G,VS1,6.75,54.500518
197,0.54,Ideal,G,VVS2,7.593,87.506514
198,0.3,Ideal,E,IF,6.849,49.943417999999994
199,0.31,Premium,J,SI1,6.142,50.79748800000001
200,0.41,Good,F,VS1,6.792,67.39362000000001
201,0.72,Ideal,H,SI1,7.807,117.62150399999997
202,0.43,Ideal,H,VVS1,7.169,71.2962
203,0.9,Very Good,F,SI1,8.267,150.32367000000002
204,0.3,Fair,E,VVS2,6.373,47.935404
205,1.01,Premium,G,VS2,8.717,163.17424200000002
206,1.5,Premium,G,SI2,8.868,242.595808
207,0.56,Premium,E,VS2,7.53,93.768558
208,0.33,Ideal,D,SI1,6.41,54.041903999999995
209,0.5,Very Good,D,VS1,7.447,79.884
210,1.2,Premium,G,VS1,8.695,191.01622500000005
211,0.7,Very Good,I,SI1,7.672,111.847554
212,0.38,Ideal,F,VS1,6.906,63.19123199999999
213,0.43,Ideal,D,SI1,6.97,69.950732
214,0.42,Ideal,D,VVS2,7.19,68.658902
215,0.31,Ideal,E,VS2,6.771,50.901256
216,1.04,Very Good,F,SI2,8.338,168.69580000000002
217,1.26,Ideal,E,SI1,9.056,205.65686399999996
218,0.3,Ideal,D,SI1,6.314,49.78287600000001
219,1.56,Premium,E,VS2,9.406,254.199618
220,0.43,Premium,F,VS2,6.875,69.76956799999999
221,0.5,Good,F,SI1,7.102,81.578496
222,0.27,Very Good,G,VVS1,6.339,44.56270000000001
223,0.78,Very Good,D,VS2,8.207,126.53900999999999
224,0.53,Good,E,VS1,7.482,86.79815199999999
225,1.06,Ideal,G,SI2,8.515,171.213988
226,0.4,Very Good,F,VS1,6.844,63.84268799999999
227,0.59,Ideal,G,SI1,7.227,95.837872
