id,carat,cut,color,clarity,size
0,0.32,3,1,2,53.70489
1,1.24,4,1,2,195.24432
2,1.66,4,6,2,269.686
3,0.75,4,6,1,125.81514
4,1.5,1,5,1,242.41503
5,0.82,3,2,3,135.931776
6,0.54,3,3,1,89.9184
7,0.45,0,6,3,69.16395200000001
8,0.31,2,3,2,49.75831
9,0.3,4,6,3,49.954344000000006
10,1.5,0,4,3,236.942685
11,0.53,3,2,4,88.70272
12,1.0,0,2,3,159.40150999999997
13,0.81,3,4,4,133.6086
14,0.33,4,3,4,53.499680000000005
15,0.5,0,5,2,79.566049
16,0.58,3,3,7,97.11701999999998
17,0.29,3,3,3,49.30855499999999
18,1.7,4,1,3,275.5836
19,1.07,3,3,6,178.19096399999998
20,0.42,3,1,4,70.2765
21,1.5,4,2,1,244.177632
22,2.01,4,1,1,325.86542999999995
23,0.43,4,4,1,70.279776
24,1.57,3,2,2,259.741611
25,0.5,4,5,2,79.600884
26,0.52,4,2,2,85.4282
27,2.01,4,3,2,330.98617
28,0.72,3,6,4,117.9807
29,1.0,0,6,2,154.18430999999998
30,0.34,3,2,7,57.47196
31,1.11,3,2,1,181.959192
32,1.04,4,1,2,168.89999699999996
33,0.3,4,2,2,47.364975
34,2.08,2,6,1,347.6303729999999
35,1.0,2,2,3,158.706135
36,1.58,2,3,1,265.003332
37,0.7,2,5,1,111.211932
38,1.66,3,2,7,270.671544
39,2.03,4,3,2,325.02284799999995
40,1.51,2,5,1,254.99968500000008
41,0.9,3,3,3,148.23193
42,0.54,4,2,2,88.19872000000001
43,0.91,4,4,3,147.515445
44,0.5,4,3,4,79.53755999999998
45,0.3,3,4,2,48.6353
46,0.34,2,5,1,55.84236899999999
47,2.15,2,1,1,346.1794
48,1.23,3,2,3,198.256125
49,1.04,2,5,2,169.46316799999997
50,0.51,2,3,5,83.19833999999999
51,0.4,2,4,6,66.30643800000001
52,0.52,3,4,6,85.61332499999999
53,0.7,2,4,2,113.43969
54,0.42,4,4,4,68.44319999999999
55,0.32,3,5,5,53.650296
56,1.2,0,4,3,185.6547
57,1.51,4,2,6,246.53692
58,0.32,3,5,3,52.58321399999999
59,0.43,4,1,7,70.004088
60,0.6,3,2,3,100.025016
61,1.01,3,5,1,165.636
62,0.31,3,6,3,51.56054999999999
63,0.7,2,6,2,111.241812
64,0.78,4,6,2,130.100628
65,0.54,3,5,3,88.7263
66,1.5,2,1,7,240.862307
67,0.8,2,6,2,128.839392
68,0.7,0,2,3,112.380642
69,0.75,3,4,3,122.321562
70,1.5,4,4,3,242.1072
71,0.43,0,0,1,69.313216
72,0.35,4,4,3,57.632472
73,0.74,3,5,2,123.96018
74,0.32,2,2,5,53.575704
75,0.33,3,5,4,55.404804
76,0.32,3,4,4,52.942560000000014
77,1.51,2,1,2,243.639671
78,0.41,3,2,2,66.438176
79,0.7,4,1,1,111.1355
80,0.77,3,1,4,127.00281
81,0.3,3,3,5,49.78287600000001
82,1.01,2,4,1,162.84617999999998
83,0.43,0,4,4,69.22944
84,1.12,3,0,1,180.446721
85,0.32,3,1,3,51.846554000000005
86,0.5,3,5,2,84.784814
87,0.5,2,5,1,81.817236
88,0.76,3,3,2,123.90885
89,1.03,0,0,2,161.72470600000003
90,0.29,2,3,6,47.43457599999999
91,1.0,2,2,2,166.15200000000002
92,0.43,3,3,7,71.387568
93,0.32,4,1,5,51.4431
94,1.11,3,5,5,179.78860799999998
95,0.7,3,3,4,114.91375
96,0.34,3,3,3,56.12085
97,0.84,2,1,5,136.891854
98,0.42,4,6,1,68.65800800000001
99,0.3,4,6,2,49.368033
100,1.02,2,3,4,164.03769
101,0.3,3,6,3,50.101632000000016
102,0.35,4,4,3,56.746368
103,1.5,2,6,2,242.922996
104,1.2,2,4,7,193.41104
105,0.94,4,2,3,152.90292
106,1.16,4,3,1,187.524288
107,0.85,3,5,1,141.464526
108,0.32,3,3,5,52.97237399999999
109,0.34,4,3,2,55.725024
110,0.57,2,5,3,92.96053
111,1.3,2,4,1,209.71828800000003
112,2.01,4,1,3,328.93237
113,0.32,2,4,3,51.03094199999999
114,0.54,3,3,4,88.45329600000001
115,0.31,4,5,2,51.11424
116,1.24,3,3,4,200.585125
117,0.73,4,1,1,119.76705
118,0.31,4,3,6,50.29728000000001
119,0.93,3,5,2,151.412976
120,0.52,2,5,3,86.85824000000001
121,0.3,2,3,4,49.16082599999999
122,0.72,4,6,2,116.704977
123,1.03,4,1,2,167.28234600000002
124,1.14,4,1,2,185.90624
125,0.54,3,4,5,90.38832
126,0.3,3,3,2,48.612564
127,1.39,2,1,0,226.4119
128,1.01,0,5,3,159.17299200000002
129,1.06,2,1,2,172.112352
130,1.01,2,4,1,162.56
131,0.3,3,5,6,49.621892
132,0.72,3,5,2,118.13497999999996
133,0.25,2,5,5,40.616972
134,0.42,0,2,2,68.794938
135,1.51,4,3,4,237.11469600000004
136,0.7,4,6,3,115.4577
137,0.51,2,3,6,87.23496
138,0.71,3,3,6,119.92323199999996
139,0.51,3,4,3,83.973208
140,1.41,1,2,0,224.5425
141,0.6,4,5,2,98.046795
142,1.25,3,0,5,202.85134200000005
143,0.38,4,5,4,61.89505199999999
144,0.33,2,5,2,53.45384
145,1.01,0,5,3,163.26739
146,2.01,4,1,3,318.632994
147,0.53,2,3,1,86.165418
148,0.41,3,5,3,66.925008
149,0.51,3,3,5,84.79733399999999
150,0.3,3,6,3,50.47833600000001
151,1.01,0,4,3,163.96228799999997
152,0.71,3,5,2,115.368
153,0.61,2,4,3,96.815719
154,0.71,4,3,1,119.195244
155,0.7,2,4,2,116.179188
156,0.32,2,2,1,52.15595
157,1.51,3,5,1,249.71448000000004
158,0.32,3,2,2,53.741216
159,0.33,3,3,6,55.46925000000001
160,0.98,0,2,1,158.37007199999996
161,0.25,0,6,5,41.83296000000001
162,0.72,3,1,3,117.495664
163,0.32,3,2,5,51.989453
164,0.51,3,5,1,84.78912000000001
165,0.33,3,4,5,54.06055200000001
166,1.01,0,5,1,162.788535
167,0.77,0,2,5,123.92142
168,0.31,0,5,2,51.72791200000001
169,0.9,4,3,2,147.17808
170,0.55,3,3,4,92.3286
171,1.12,3,3,1,186.40472000000003
172,1.01,4,5,3,162.96800399999998
173,1.0,2,3,2,159.83049600000004
174,1.06,4,4,2,171.21519999999998
175,0.4,3,3,7,66.784704
176,0.24,2,3,6,39.35901599999999
177,0.31,4,2,3,50.925236
178,0.56,2,3,5,92.415771
179,0.5,0,1,1,79.70108400000001
180,1.11,2,2,2,180.66121500000003
181,0.32,3,4,6,52.344734
182,0.62,0,0,2,101.8908
183,0.51,4,5,3,85.718131
184,1.32,3,0,4,216.3392
185,0.52,3,1,3,86.52768000000002
186,0.37,4,5,2,63.133675
187,1.03,4,5,2,167.957955
188,0.25,2,6,4,39.8588
189,0.31,0,2,3,49.989744
190,0.3,3,2,2,48.612564
191,1.0,1,4,3,161.15673600000002
192,0.71,2,3,2,117.21024
193,0.9,2,1,1,143.68245000000002
194,2.21,3,3,1,364.46256000000005
195,1.5,2,0,5,242.788
196,0.91,3,1,4,149.09636
197,0.23,2,6,5,38.09064
198,0.53,3,6,3,86.52512000000002
199,1.0,2,5,2,159.99125999999998
200,1.01,2,5,3,162.50052
201,0.33,3,3,4,54.53042399999999
202,0.31,0,6,1,50.12552999999999
203,1.46,2,1,2,230.31008000000003
204,1.07,4,2,1,170.686364
205,0.42,2,2,3,69.608396
206,0.72,2,6,4,113.9266
207,0.3,3,5,3,49.04064
208,0.31,4,1,2,51.262908
209,1.32,2,4,7,213.028292
210,1.1,2,2,3,178.15247999999997
211,1.53,2,2,3,245.75265
212,1.0,4,1,4,164.0145
213,0.4,0,5,2,64.217637
214,0.9,2,3,1,141.71519999999998
215,0.5,2,6,1,79.15168
216,0.35,3,2,7,58.99039999999999
217,0.52,3,4,5,86.0288
218,0.7,0,0,1,113.586936
219,0.27,2,4,5,44.00577000000001
220,0.32,4,3,3,51.350336000000006
221,0.5,3,2,4,83.647728
222,0.72,3,6,4,119.312214
223,0.51,0,3,5,83.94192
224,0.34,3,5,1,57.028388
225,1.03,3,3,5,169.79690000000002
226,0.33,3,2,4,54.701625
227,0.7,3,3,3,113.96352
228,0.31,2,1,3,51.572118
229,2.06,4,3,2,351.380832
230,1.2,4,0,1,196.85666999999995
231,1.01,0,3,4,165.95407500000002
232,0.32,3,5,4,53.14813000000001
233,1.5,2,1,1,235.417288
234,1.11,4,2,2,179.539696
235,1.2,4,3,2,191.352
236,0.24,2,4,6,39.3824
237,1.54,4,5,3,247.967016
238,1.55,4,2,3,250.83877
239,2.06,4,3,1,336.75015
240,0.32,3,4,3,51.539124
241,0.52,3,2,1,85.924883
242,0.54,3,4,1,89.87668799999999
243,0.71,0,5,2,116.01085
244,1.52,3,1,3,250.194
245,0.3,2,5,3,49.182336000000014
246,0.91,3,5,1,149.423505
247,1.0,3,4,1,162.07044000000002
248,0.93,1,3,2,147.32684399999997
249,0.31,3,3,5,50.361488
250,0.32,3,5,4,54.136372
251,0.7,2,5,2,111.3322
252,0.25,2,5,6,40.88555899999999
253,1.68,3,2,3,281.888607
254,1.5,0,3,2,233.619996
255,1.2,2,3,2,194.839246
256,0.3,2,5,6,48.56783399999999
257,0.23,0,6,6,36.60346500000001
258,1.75,4,5,2,283.870692
259,0.73,4,1,1,119.394432
260,0.26,3,2,3,42.48911999999999
261,1.17,3,4,2,188.761694
262,0.23,2,2,5,37.74323
263,0.42,3,6,5,69.42969000000001
264,1.01,2,3,2,163.253628
265,1.01,3,5,6,164.03769
266,0.34,4,3,6,55.51739999999999
267,1.26,2,1,4,205.24740000000003
268,0.39,4,4,4,64.06071
269,1.58,4,6,1,265.577585
270,1.01,2,4,4,162.66272400000005
271,1.24,2,5,2,200.11316
272,0.51,3,5,3,84.959781
273,0.4,3,6,4,67.04523600000002
274,0.5,4,3,4,84.258108
275,0.31,3,5,3,50.14436
276,0.56,3,2,2,93.28926599999998
277,2.0,4,1,1,330.81637200000006
278,1.23,2,4,1,193.06686
279,1.01,3,4,7,165.220314
280,0.53,2,2,5,84.8926
281,0.32,3,5,4,52.31512
282,0.51,3,5,3,83.23224
283,0.42,3,6,5,68.515564
284,0.32,3,6,2,53.25868800000001
285,0.31,3,6,5,51.20766
286,0.32,2,3,5,51.94329600000001
287,0.44,4,3,2,70.42020000000001
288,0.3,2,2,5,50.101632000000016
289,0.76,3,2,3,125.422752
290,0.3,3,5,6,50.522007
291,0.5,2,3,5,81.52553999999998
292,2.02,3,1,1,321.353006
293,0.31,3,3,4,52.31431299999999
294,0.42,4,6,1,69.25217999999998
295,1.1,3,2,2,184.73508
296,0.41,3,4,2,66.16655100000001
297,1.02,2,6,2,169.0065
298,1.04,4,5,1,170.917236
299,0.52,3,3,2,86.23288800000002
300,1.07,3,3,4,175.24786999999998
301,0.4,3,5,6,65.58145
302,0.38,2,5,5,62.824806
303,1.03,3,4,4,169.48165
304,0.3,2,3,2,51.044205
305,0.31,4,6,3,50.2713
306,0.51,4,5,3,83.22142500000001
307,2.01,3,2,1,327.57372
308,1.21,2,4,4,194.519241
309,1.23,3,3,3,201.118912
310,1.01,4,2,2,164.328295
311,0.31,4,4,3,51.134748
312,0.4,0,5,2,64.217637
313,0.9,3,3,3,148.23193
314,1.23,3,2,5,203.03664000000003
315,1.19,3,2,0,196.427385
316,0.3,3,3,1,49.068488
317,2.01,0,5,1,322.545064
318,0.3,4,3,4,49.182336000000014
319,0.37,2,4,3,60.190926
320,0.9,2,2,4,145.042128
321,1.05,2,2,4,168.0096
322,0.3,2,6,4,49.34358
323,1.26,3,4,3,210.09671
324,1.05,4,5,1,171.363065
325,0.32,3,5,3,53.782118
326,0.38,4,6,3,62.064612
327,1.71,0,6,2,268.91808
328,0.4,3,6,4,65.63667600000001
329,0.27,0,5,6,43.55307
330,0.31,0,5,2,50.476608000000006
331,1.01,2,2,4,163.18763999999996
332,0.9,3,1,3,147.40128
333,0.33,3,3,7,55.8107
334,0.41,3,1,4,68.428503
335,0.3,3,5,2,50.59518400000001
336,0.91,2,3,1,147.498988
337,1.01,4,2,4,163.463256
338,0.55,3,3,2,92.04192
339,1.03,3,3,5,168.7392
340,0.58,3,3,6,95.5152
341,0.41,3,3,3,67.6609
342,1.02,0,3,4,170.90034500000002
343,1.03,4,0,2,171.8392
344,0.5,0,0,3,80.614908
345,0.52,2,4,3,83.261318
346,0.7,3,2,1,117.5349
347,0.31,4,5,4,49.713264
348,0.82,2,4,5,132.310125
349,0.41,3,6,2,66.99647999999999
350,0.74,3,2,4,120.845406
351,1.01,4,4,1,160.08462199999997
352,1.09,4,2,2,177.991632
353,1.09,3,4,5,176.11115999999998
354,2.01,4,6,1,329.510205
355,0.62,3,3,7,100.94708
356,0.69,0,6,5,109.66989
357,2.19,2,1,2,356.23744800000003
358,1.0,1,1,0,154.83812999999998
359,1.01,2,4,1,163.92704
360,2.52,4,1,2,410.5036
361,0.51,2,5,4,83.98416
362,1.02,3,2,2,165.441782
363,0.7,3,1,5,112.24418399999998
364,0.9,4,6,2,146.847924
365,0.49,0,6,4,81.58500000000001
366,2.01,3,2,2,326.4315
367,0.31,2,3,1,49.82754
368,2.0,4,1,3,321.5712
369,0.31,2,3,3,50.56527
370,1.33,3,2,3,222.699906
371,0.51,4,2,2,82.748952
372,0.31,4,4,3,50.25937
373,0.5,0,5,2,79.657092
374,1.07,3,2,4,179.112708
