id,carat,cut,color,clarity,size
0,0.32,Ideal,I,SI1,53.70489
1,1.24,Premium,I,SI1,195.24432
2,1.66,Premium,D,SI1,269.686
3,0.75,Premium,D,SI2,125.81514
4,1.5,Fair,E,SI2,242.41503
5,0.82,Ideal,H,VS2,135.931776
6,0.54,Ideal,G,SI2,89.9184
7,0.45,Good,D,VS2,69.16395200000001
8,0.31,Very Good,G,SI1,49.75831
9,0.3,Premium,D,VS2,49.954344000000006
10,1.5,Good,F,VS2,236.942685
11,0.53,Ideal,H,VS1,88.70272
12,1.0,Good,H,VS2,159.40150999999997
13,0.81,Ideal,F,VS1,133.6086
14,0.33,Premium,G,VS1,53.499680000000005
15,0.5,Good,E,SI1,79.566049
16,0.58,Ideal,G,IF,97.11701999999998
17,0.29,Ideal,G,VS2,49.30855499999999
18,1.7,Premium,I,VS2,275.5836
19,1.07,Ideal,G,VVS1,178.19096399999998
20,0.42,Ideal,I,VS1,70.2765
21,1.5,Premium,H,SI2,244.177632
22,2.01,Premium,I,SI2,325.86542999999995
23,0.43,Premium,F,SI2,70.279776
24,1.57,Ideal,H,SI1,259.741611
25,0.5,Premium,E,SI1,79.600884
26,0.52,Premium,H,SI1,85.4282
27,2.01,Premium,G,SI1,330.98617
28,0.72,Ideal,D,VS1,117.9807
29,1.0,Good,D,SI1,154.18430999999998
30,0.34,Ideal,H,IF,57.47196
31,1.11,Ideal,H,SI2,181.959192
32,1.04,Premium,I,SI1,168.89999699999996
33,0.3,Premium,H,SI1,47.364975
34,2.08,Very Good,D,SI2,347.6303729999999
35,1.0,Very Good,H,VS2,158.706135
36,1.58,Very Good,G,SI2,265.003332
37,0.7,Very Good,E,SI2,111.211932
38,1.66,Ideal,H,IF,270.671544
39,2.03,Premium,G,SI1,325.02284799999995
40,1.51,Very Good,E,SI2,254.99968500000008
41,0.9,Ideal,G,VS2,148.23193
42,0.54,Premium,H,SI1,88.19872000000001
43,0.91,Premium,F,VS2,147.515445
44,0.5,Premium,G,VS1,79.53755999999998
45,0.3,Ideal,F,SI1,48.6353
46,0.34,Very Good,E,SI2,55.84236899999999
47,2.15,Very Good,I,SI2,346.1794
48,1.23,Ideal,H,VS2,198.256125
49,1.04,Very Good,E,SI1,169.46316799999997
50,0.51,Very Good,G,VVS2,83.19833999999999
51,0.4,Very Good,F,VVS1,66.30643800000001
52,0.52,Ideal,F,VVS1,85.61332499999999
53,0.7,Very Good,F,SI1,113.43969
54,0.42,Premium,F,VS1,68.44319999999999
55,0.32,Ideal,E,VVS2,53.650296
56,1.2,Good,F,VS2,185.6547
57,1.51,Premium,H,VVS1,246.53692
58,0.32,Ideal,E,VS2,52.58321399999999
59,0.43,Premium,I,IF,70.004088
60,0.6,Ideal,H,VS2,100.025016
61,1.01,Ideal,E,SI2,165.636
62,0.31,Ideal,D,VS2,51.56054999999999
63,0.7,Very Good,D,SI1,111.241812
64,0.78,Premium,D,SI1,130.100628
65,0.54,Ideal,E,VS2,88.7263
66,1.5,Very Good,I,IF,240.862307
67,0.8,Very Good,D,SI1,128.839392
68,0.7,Good,H,VS2,112.380642
69,0.75,Ideal,F,VS2,122.321562
70,1.5,Premium,F,VS2,242.1072
71,0.43,Good,J,SI2,69.313216
72,0.35,Premium,F,VS2,57.632472
73,0.74,Ideal,E,SI1,123.96018
74,0.32,Very Good,H,VVS2,53.575704
75,0.33,Ideal,E,VS1,55.404804
76,0.32,Ideal,F,VS1,52.942560000000014
77,1.51,Very Good,I,SI1,243.639671
78,0.41,Ideal,H,SI1,66.438176
79,0.7,Premium,I,SI2,111.1355
80,0.77,Ideal,I,VS1,127.00281
81,0.3,Ideal,G,VVS2,49.78287600000001
82,1.01,Very Good,F,SI2,162.84617999999998
83,0.43,Good,F,VS1,69.22944
84,1.12,Ideal,J,SI2,180.446721
85,0.32,Ideal,I,VS2,51.846554000000005
86,0.5,Ideal,E,SI1,84.784814
87,0.5,Very Good,E,SI2,81.817236
88,0.76,Ideal,G,SI1,123.90885
89,1.03,Good,J,SI1,161.72470600000003
90,0.29,Very Good,G,VVS1,47.43457599999999
91,1.0,Very Good,H,SI1,166.15200000000002
92,0.43,Ideal,G,IF,71.387568
93,0.32,Premium,I,VVS2,51.4431
94,1.11,Ideal,E,VVS2,179.78860799999998
95,0.7,Ideal,G,VS1,114.91375
96,0.34,Ideal,G,VS2,56.12085
97,0.84,Very Good,I,VVS2,136.891854
98,0.42,Premium,D,SI2,68.65800800000001
99,0.3,Premium,D,SI1,49.368033
100,1.02,Very Good,G,VS1,164.03769
101,0.3,Ideal,D,VS2,50.101632000000016
102,0.35,Premium,F,VS2,56.746368
103,1.5,Very Good,D,SI1,242.922996
104,1.2,Very Good,F,IF,193.41104
105,0.94,Premium,H,VS2,152.90292
106,1.16,Premium,G,SI2,187.524288
107,0.85,Ideal,E,SI2,141.464526
108,0.32,Ideal,G,VVS2,52.97237399999999
109,0.34,Premium,G,SI1,55.725024
110,0.57,Very Good,E,VS2,92.96053
111,1.3,Very Good,F,SI2,209.71828800000003
112,2.01,Premium,I,VS2,328.93237
113,0.32,Very Good,F,VS2,51.03094199999999
114,0.54,Ideal,G,VS1,88.45329600000001
115,0.31,Premium,E,SI1,51.11424
116,1.24,Ideal,G,VS1,200.585125
117,0.73,Premium,I,SI2,119.76705
118,0.31,Premium,G,VVS1,50.29728000000001
119,0.93,Ideal,E,SI1,151.412976
120,0.52,Very Good,E,VS2,86.85824000000001
121,0.3,Very Good,G,VS1,49.16082599999999
122,0.72,Premium,D,SI1,116.704977
123,1.03,Premium,I,SI1,167.28234600000002
124,1.14,Premium,I,SI1,185.90624
125,0.54,Ideal,F,VVS2,90.38832
126,0.3,Ideal,G,SI1,48.612564
127,1.39,Very Good,I,I1,226.4119
128,1.01,Good,E,VS2,159.17299200000002
129,1.06,Very Good,I,SI1,172.112352
130,1.01,Very Good,F,SI2,162.56
131,0.3,Ideal,E,VVS1,49.621892
132,0.72,Ideal,E,SI1,118.13497999999996
133,0.25,Very Good,E,VVS2,40.616972
134,0.42,Good,H,SI1,68.794938
135,1.51,Premium,G,VS1,237.11469600000004
136,0.7,Premium,D,VS2,115.4577
137,0.51,Very Good,G,VVS1,87.23496
138,0.71,Ideal,G,VVS1,119.92323199999996
139,0.51,Ideal,F,VS2,83.973208
140,1.41,Fair,H,I1,224.5425
141,0.6,Premium,E,SI1,98.046795
142,1.25,Ideal,J,VVS2,202.85134200000005
143,0.38,Premium,E,VS1,61.89505199999999
144,0.33,Very Good,E,SI1,53.45384
145,1.01,Good,E,VS2,163.26739
146,2.01,Premium,I,VS2,318.632994
147,0.53,Very Good,G,SI2,86.165418
148,0.41,Ideal,E,VS2,66.925008
149,0.51,Ideal,G,VVS2,84.79733399999999
150,0.3,Ideal,D,VS2,50.47833600000001
151,1.01,Good,F,VS2,163.96228799999997
152,0.71,Ideal,E,SI1,115.368
153,0.61,Very Good,F,VS2,96.815719
154,0.71,Premium,G,SI2,119.195244
155,0.7,Very Good,F,SI1,116.179188
156,0.32,Very Good,H,SI2,52.15595
157,1.51,Ideal,E,SI2,249.71448000000004
158,0.32,Ideal,H,SI1,53.741216
159,0.33,Ideal,G,VVS1,55.46925000000001
160,0.98,Good,H,SI2,158.37007199999996
161,0.25,Good,D,VVS2,41.83296000000001
162,0.72,Ideal,I,VS2,117.495664
163,0.32,Ideal,H,VVS2,51.989453
164,0.51,Ideal,E,SI2,84.78912000000001
165,0.33,Ideal,F,VVS2,54.06055200000001
166,1.01,Good,E,SI2,162.788535
167,0.77,Good,H,VVS2,123.92142
168,0.31,Good,E,SI1,51.72791200000001
169,0.9,Premium,G,SI1,147.17808
170,0.55,Ideal,G,VS1,92.3286
171,1.12,Ideal,G,SI2,186.40472000000003
172,1.01,Premium,E,VS2,162.96800399999998
173,1.0,Very Good,G,SI1,159.83049600000004
174,1.06,Premium,F,SI1,171.21519999999998
175,0.4,Ideal,G,IF,66.784704
176,0.24,Very Good,G,VVS1,39.35901599999999
177,0.31,Premium,H,VS2,50.925236
178,0.56,Very Good,G,VVS2,92.415771
179,0.5,Good,I,SI2,79.70108400000001
180,1.11,Very Good,H,SI1,180.66121500000003
181,0.32,Ideal,F,VVS1,52.344734
